Title,average_rating,ratings_count,Amazon Link,Author,Author Gender,Book Type,Fiction / Non-Fiction,Genre,Publish Year,Rank (copy),Rank Year,Reason,Reason (Consolidated),Title (copy),Page Count,Points,Rank,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,isbn,isbn13,language_code,  num_pages,text_reviews_count,publication_date,publisher
A Bad Boy Can Be Good for A Girl,3.51,1945,https://www.amazon.com/Bad-Boy-Can-Good-Girl/dp/0553495097,Tanya Lee Stone,Woman,Book,Fiction,Romance,2006,6,2013,"drugs/alcohol/smoking, nudity, offensive language, sexually explicit",,A Bad Boy Can Be Good for A Girl,221,5,6,,,,,,,,,,,,,,,,,,,
A Day in the Life of Marlon Bundo,4.64,17583,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X,Jill Twiss,Woman,Picture Book,Fiction,Children's,2018,2,2018,"banned and challenged for including LGBTQIA+ content, and for political and religious viewpoints",,A Day in the Life of Marlon Bundo,40,9,2,,,,,,,,,,,,,,,,,,,
A Day in the Life of Marlon Bundo,4.64,17583,https://www.amazon.com/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X,Jill Twiss,Woman,Picture Book,Fiction,Children's,2018,3,2019,"challenged and vandalized for LGBTQIA+ content and political viewpoints, for concerns that it is “designed to pollute the morals of its readers,” and for not including a content warning",,A Day in the Life of Marlon Bundo,40,8,3,,,,,,,,,,,,,,,,,,,
A Stolen Life,3.95,131354,https://www.amazon.com/Stolen-Life-Memoir-Jaycee-Dugard/dp/1451629192,Jaycee Dugard,Woman,Book,Non-Fiction,Memoir,2011,9,2014,"drugs/alcohol/smoking, offensive language, sexually explicit, unsuited for age group",,A Stolen Life,314,2,9,,,,,,,,,,,,,,,,,,,
All American Boys,4.3,47480,https://www.amazon.com/All-American-Boys-Jason-Reynolds/dp/1481463330,Jason Reynolds and Brendan Kiely,Man,Book,Fiction,Young Adult,2015,3,2020,"Banned and challenged for profanity, drug use, and alcoholism, and because it was thought to promote anti-police views, contain divisive topics, and be “too much of a sensitive matter right now”",,All American Boys,310,8,3,,,,,,,,,,,,,,,,,,,
All Boys Aren’t Blue,4.2,40733,https://www.amazon.com/All-Boys-Arent-Blue-Memoir-Manifesto/dp/0374312710,George M. Johnson,Non-Binary,Book,Non-Fiction,Memoir,2020,3,2021,"Banned and challenged for LGBTQIA+ content, profanity, and because it was considered to be sexually explicit",,All Boys Aren’t Blue,320,8,3,,,,,,,,,,,,,,,,,,,
And Tango Makes Three,4.34,13451,https://www.amazon.com/Tango-Makes-Three-Classic-Board/dp/1481446959,Justin Richardson and Peter Parnell,Man,Picture Book,Non-Fiction,Children's,2005,3,2014,"anti-family, homosexuality, political viewpoint, religious viewpoint, unsuited for age group. Additional reasons: “promotes the homosexual agenda”",,And Tango Makes Three,32,8,3,,,,,,,,,,,,,,,,,,,
And Tango Makes Three,4.34,13451,https://www.amazon.com/Tango-Makes-Three-Classic-Board/dp/1481446959,Peter Parnell and Justin Richardson,Man,Picture Book,Non-Fiction,Children's,2005,5,2012,"Same-sex, unsuited for age group",,And Tango Makes Three,32,6,5,,,,,,,,,,,,,,,,,,,
And Tango Makes Three,4.34,13451,https://www.amazon.com/Tango-Makes-Three-Classic-Board/dp/1481446959,Peter Parnell and Justin Richardson,Man,Picture Book,Non-Fiction,Children's,2005,10,2019,"challenged and relocated for LGBTQIA+ content, Same-sex",,And Tango Makes Three,32,1,10,,,,,,,,,,,,,,,,,,,
And Tango Makes Three,4.34,13451,https://www.amazon.com/Tango-Makes-Three-Classic-Board/dp/1481446959,Peter Parnell and Justin Richardson,Man,Picture Book,Non-Fiction,Children's,2005,9,2017,"Returning after a brief hiatus from the Top Ten Most Challenged list, this ALA Notable Children’s Book, published in 2005, was challenged and labeled because it features a same-sex relationship.",,And Tango Makes Three,32,2,9,,,,,,,,,,,,,,,,,,,
