Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Initiating Action,bookID,title,authors,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Duval County Public Schools,December 2023,Banned pending investigation,Administration,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Lee County Schools,September 2023,Banned,Formal Challenge,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Orange County Public Schools,February 2024,Banned,Administration,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,Polk County Public Schools,April 2024,Banned,Formal Challenge,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Florida,St. John's County School District,February 2024,Banned pending investigation,Formal Challenge,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Iowa,West Des Moines Community Schools,October 2023,Banned pending investigation,Administration,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Maryland,Caroll County School District,August 2023,Banned pending investigation,Formal Challenge,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Conroe Independent School District,November 2023,Banned,Administration,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Texas,Plano Independent School District,October 2023,Banned,Informal Challenge,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",,,,,Virginia,Hanover County Public Schools,August 2023,Banned,Administration,18749,Half of a Yellow Sun,Chimamanda Ngozi Adichie,4.32,1400044162,9781400044160,eng,433,71280,5494,9/12/2006,Knopf
A Picture Book of Anne Frank,"Adler, David A.",,"Ritz, Karen",,,Florida,St. John's County School District,July 2023,Banned by restriction,Administration,43072,A Picture Book of Anne Frank,David A. Adler/Karen Ritz,4.18,0823410781,9780823410781,en-US,32,217,70,1/1/1993,Holiday House
Solo,"Alexander, Kwame","Hess, Mary Rand",,,,Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration,41994,Solo,Jill Mansell,3.65,0747267456,9780747267454,eng,421,3362,127,9/2/2002,Headline Review
Reservation Blues,"Alexie, Sherman",,,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration,6159,Reservation Blues,Sherman Alexie,3.98,0802141900,9780802141903,eng,306,11163,772,2/7/2005,Grove Press
